4) Specifica il codice ISTAT del tuo comune,6) Il tuo territorio ha problemi di connettività a internet? ,"7) Il tuo sindaco o un assessore, ti ha incontrato come Digital Champion?","8) Il comune durante il 2014-15, ha organizzato o finanzia iniziative per aumentare la cultura digitale?",10) C'è e come ci si registra al wi fi pubblico nel comune di cui sei DC?,"11) Il wi fi pubblico, per quanto tempo è accessibile al giorno?",12) Hai verificato la qualità del sito web del tuo comune?   ,13) Quali servizi on line ci sono?,14) Il tuo comune è presente su facebook? E come viene gestito?,15) Il tuo comune è presente su twitter e come viene gestito? *,18) Il tuo comune rilascia dati in formato aperto e riusabile (open data) *,C'è una comunità che organizza Coderdojo? Quanto è attiva?,20) Ci sono iniziative di alfabetizzazione digitale?  *,22) Puoi segnalare quante startup innovative ci sono nella provincia del tuo comune?,23) Puoi segnalare quanti incubatori registrati ci sono nel tuo comune?,"25) Ci sono altri spazi adibiti alla promozione del digitale come coworking, fablab e altro?  *",29) Quale priorità segnali per il tuo comune?  *,Comune,Provincia,Regione,Grandezza_comune,Abitanti,,,,,,,,,,,,,,,,,,,,,,,,,,Scegli un tema che vorresti approfondire come digital champion
82009,la connettività non supera i 10 Megabit,no,"no, non hai mai organizzato nulla",non c'è nessun servizio di wi fi pubblico,no wifi,fino a 10 indicatori soddisfatti,Servizi informativi per bandi e concorsi pubblici,è presente ma non risponde a commenti e domande,non è presente su  twitter,non esiste una sezione open data,non c'è nel mio comune,Non c'è stata nessuna iniziativa,0,0,no,"aumentare la connettività, aumentare il wi fi pubblico, aumentare l'alfabetizzazione digitale per categorie a rischio esclusione, aumentare l'alfabetizzazione digitale alle aziende",Belmonte Mezzagno,PA,SIC,MEDIO,11146,,,,,,,,,,,,,,,,,,,,,,,,,,
81015,la connettività non supera i 100 Megabit,no,"si, ha organizzato 1 evento","il wi fi pubbico, non c'è bisogno di nessuna iscrizione, si ottiene una password recandosi presso alcuni esercizi commerciali",Non c'è nessun limite di tempo ma possibilità di accesso solo in cinque piazze,oltre 60 indicatori soddisfatti,Sportello Unico online,è presente con una pagina sull'attività svolta dal Sindaco e dalla Giunta. Non nasce per rispondere a commenti e domande ma talvolta succede,non è presente su  twitter,non esiste una sezione open data,non c'è nel mio comune,Non c'è stata nessuna iniziativa,12,0,no,"supportare gli amministratori pubblici nella promozione del digitale, aumentare l'alfabetizzazione digitale alle aziende, aumentare diffusione dei fablab e della digitalizzazione della manifattura",Partanna,TP,SIC,MEDIO,11168,,,,,,,,,,,,,,,,,,,,,,,,,,
81011,la connettività non supera i 10 Megabit,no,"no, non hai mai organizzato nulla",ci si registra passando per un ufficio,massimo 1h,oltre 60 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, Piattaforma per consultazioni online, Servizi informativi per situazioni di emergenza, URP online, Sportello Unico online, Certificazione anagrafica con timbro e firma digitale;",è presente e risponde a commenti e domande,"non è presente su  twitter, è presente e risponde",non esiste una sezione open data,non c'è nel mio comune,Non c'è stata nessuna iniziativa,0,0,no,"aumentare la connettività, supportare gli amministratori pubblici nella promozione del digitale, fare formazione sul crowdfunding, aumentare l'alfabetizzazione digitale per categorie a rischio esclusione, aumentare l'alfabetizzazione digitale alle aziende, avviare coderdojo, aumentare le politiche a supporto delle startup",Marsala,TP,SIC,GRANDE,82774,,,,,,,,,,,,,,,,,,,,,,,,,,
81009,la connettività non supera i 20 Megabit,no,"si, ha organizzato 1 evento",il servizio non è fornito su tutte le frazioni/isole,da verificare,oltre 60 indicatori soddisfatti,da verificare funzionamento,"è presente ed aggiornato, da verificare risposte","non è presente su  twitter, è presente ed aggiornato, da verificare risposte",esiste una sezione o portale open data con dataset di vari uffici aggiornati e con infografiche di supporto,non credo,Saltuariamente vengono organizzati incontri ma nulla di continuativo,no,no,no,"aumentare la connettività, aumentare il wi fi pubblico, aumentare l'alfabetizzazione digitale per categorie a rischio esclusione, aumentare le politiche a supporto delle startup",Favignana,TP,SIC,PICCOLO,4314,,,,,,,,,,,,,,,,,,,,,,,,,,
81006,la connettività non supera i 10 Megabit,no,"no, non hai mai organizzato nulla",ci si registra passando per un ufficio,massimo 1h,oltre 60 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, Servizi informativi per situazioni di emergenza, URP online, Sportello Unico online",non è presente su facebook,non è presente su  twitter,esiste una sezione open data ma ristretta solo agli adempimenti di legge sulla trasparenza,non c'è nel mio comune,Non c'è stata nessuna iniziativa,0,0,no,"aumentare la connettività, aumentare il wi fi pubblico, supportare gli amministratori pubblici nella promozione del digitale, fare formazione sul crowdfunding, aumentare l'alfabetizzazione digitale per categorie a rischio esclusione, aumentare l'alfabetizzazione digitale alle aziende, aumentare le politiche a supporto delle startup",Castelvetrano,TP,SIC,GRANDE,30735,,,,,,,,,,,,,,,,,,,,,,,,,,
81005,la connettività non supera i 10 Megabit,no,"no, non hai mai organizzato nulla",tramite wifi ma è necessaria iscrizione con email e password,non c'è nessun limite,oltre 60 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, Piattaforma per consultazioni online, Servizi informativi meteo e dati ambientali, Pagamento online tasse e tariffe comunali, URP online, Sportello Unico online","non è presente su facebook, è presente in modo anomalo ed è gestito malissimo",non è presente su  twitter,non esiste una sezione open data,non c'è nel mio comune,Non c'è stata nessuna iniziativa,non posso individuarlo,no,no,"aumentare la connettività, aumentare il wi fi pubblico, supportare gli amministratori pubblici nella promozione del digitale, aumentare l'alfabetizzazione digitale per categorie a rischio esclusione, aumentare l'alfabetizzazione digitale alle aziende, avviare coderdojo, aumentare formazione di tecnologie open source, aumentare le politiche a supporto delle startup, aumentare diffusione dei fablab e della digitalizzazione della manifattura",Castellammare del Golfo,TP,SIC,MEDIO,15293,,,,,,,,,,,,,,,,,,,,,,,,,,
80088,la connettività non supera i 20 Megabit,ancora no,"no, non hai mai organizzato nulla",non c'è nessun servizio di wi fi pubblico,,oltre 60 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, Servizi informativi meteo e dati ambientali, Sportello Unico online",è presente ma non risponde a commenti e domande,non è presente su  twitter,non esiste una sezione open data,non c'è nel mio comune,Non c'è stata nessuna iniziativa,no,no,no,"aumentare il wi fi pubblico, supportare gli amministratori pubblici nella promozione del digitale, avviare coderdojo",Siderno,RC,CAL,MEDIO,18176,,,,,,,,,,,,,,,,,,,,,,,,,,
80085,La connettività non supera i 10 Mb e le frazioni sono in totale digital divide,si,"si, ha organizzato 1 evento",non c'è nessun servizio di wi fi pubblico,,oltre 60 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, Sportello Unico online",non è presente su facebook,non è presente su  twitter,non esiste una sezione open data,non c'è nel mio comune,Non c'è stata nessuna iniziativa,38,0,no,"aumentare la connettività, aumentare il wi fi pubblico, supportare gli amministratori pubblici nella promozione del digitale, aumentare l'alfabetizzazione digitale per categorie a rischio esclusione, aumentare l'alfabetizzazione digitale alle aziende, aumentare le politiche a supporto delle startup",Scilla,RC,CAL,MEDIO,5139,,,,,,,,,,,,,,,,,,,,,,,,,,
80080,la connettività non supera i 10 Megabit,no,"no, non hai mai organizzato nulla",non c'è nessun servizio di wi fi pubblico,,fino a 10 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, Servizi informativi per situazioni di emergenza",è presente ma non risponde a commenti e domande,non è presente su  twitter,non esiste una sezione open data,non c'è nel mio comune,Non c'è stata nessuna iniziativa,18,0,no,"aumentare la connettività, supportare gli amministratori pubblici nella promozione del digitale, aumentare l'alfabetizzazione digitale per categorie a rischio esclusione",Sant'Alessio in Aspromonte,RC,CAL,PICCOLO,357,,,,,,,,,,,,,,,,,,,,,,,,,,
80063,la connettività non supera i 20 Megabit,no,"no, non hai mai organizzato nulla",tramite servizi collegati al telefono mobile (es. sms o telefonata),non c'è nessun limite,oltre 60 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, Servizi informativi traffico e mobilità","è presente ma non risponde a commenti e domande, manca una strategia social","è presente ma non risponde ai commenti, Tutto in un unico profilo: comunicazione istituzionale, turismo, emergenze e disservizi. Manca una strategia social.",esiste una sezione open data ma ristretta solo agli adempimenti di legge sulla trasparenza,non c'è nel mio comune,Saltuariamente vengono organizzati incontri ma nulla di continuativo,105 in calabria,nessuno,non in modo adeguato,"supportare gli amministratori pubblici nella promozione del digitale, fare formazione sul crowdfunding, aumentare l'alfabetizzazione digitale per categorie a rischio esclusione, aumentare l'alfabetizzazione digitale alle aziende",Reggio Calabria,RC,CAL,GRANDE,186547,,,,,,,,,,,,,,,,,,,,,,,,,,
80057,"La connettività di rete fissa è stata notevolmente migliorata grazie agli investimenti fatti con i fondi europei da Telecom Italia con fibra FTTC fino a 50Mbps aperta nel mese di Agosto. E' presente segnale mobile 4G dei due principali operatori, tranne in alcune spiagge.",no,"no, non hai mai organizzato nulla",è attivo il servizio guglielmo in alcune piazze cittadini,non c'è nessun limite,oltre 60 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, Servizi informativi meteo e dati ambientali, Servizi informativi traffico e mobilità, polizia municipale su poliziamunicipalepalmi.it",non è presente su facebook,non è presente su  twitter,non esiste una sezione open data,non c'è nel mio comune,Non c'è stata nessuna iniziativa,0,0,no,"supportare gli amministratori pubblici nella promozione del digitale, fare formazione sul crowdfunding, aumentare l'alfabetizzazione digitale per categorie a rischio esclusione, aumentare l'alfabetizzazione digitale alle aziende, avviare coderdojo, aumentare formazione di tecnologie open source, aumentare le politiche a supporto delle startup, aumentare diffusione dei fablab e della digitalizzazione della manifattura",Palmi,RC,CAL,MEDIO,19320,,,,,,,,,,,,,,,,,,,,,,,,,,
80050,la connettività non supera i 20 Megabit,si,"no, non hai mai organizzato nulla",non c'è nessun servizio di wi fi pubblico,,oltre 60 indicatori soddisfatti,Servizi informativi per bandi e concorsi pubblici,non è presente su facebook,non è presente su  twitter,non esiste una sezione open data,non c'è nel mio comune,Non c'è stata nessuna iniziativa,0,0,no,"supportare gli amministratori pubblici nella promozione del digitale, aumentare l'alfabetizzazione digitale per categorie a rischio esclusione, aumentare formazione di tecnologie open source, aumentare le politiche a supporto delle startup",Melito di Porto Salvo,RC,CAL,MEDIO,11594,,,,,,,,,,,,,,,,,,,,,,,,,,
80043,la connettività non supera i 20 Megabit,no,"no, non hai mai organizzato nulla",ci si registra passando per un ufficio,non c'è nessun limite,oltre 60 indicatori soddisfatti,Piattaforma per consultazioni online,è presente e risponde a commenti e domande,è presente ma non risponde ai commenti,non esiste una sezione open data,non c'è nel mio comune,Ci sono iniziative per l’alfabetizzazione verso giovani,26,0,no,"aumentare la connettività, aumentare il wi fi pubblico, supportare gli amministratori pubblici nella promozione del digitale, fare formazione sul crowdfunding, avviare coderdojo, aumentare formazione di tecnologie open source, aumentare le politiche a supporto delle startup, aumentare diffusione dei fablab e della digitalizzazione della manifattura",Locri,RC,CAL,MEDIO,12877,,,,,,,,,,,,,,,,,,,,,,,,,,
80039,la connettività non supera i 100 Megabit,no,"no, non hai mai organizzato nulla",ci si registra passando per un ufficio,non c'è nessun limite,fino a 10 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, Servizi informativi meteo e dati ambientali, Pagamento online tasse e tariffe comunali, Sportello Unico online",è presente ma non risponde a commenti e domande,non è presente su  twitter,non esiste una sezione open data,non c'è nel mio comune,Saltuariamente vengono organizzati incontri ma nulla di continuativo,0,0,no,"aumentare la connettività, aumentare il wi fi pubblico, supportare gli amministratori pubblici nella promozione del digitale, aumentare l'alfabetizzazione digitale per categorie a rischio esclusione, aumentare l'alfabetizzazione digitale alle aziende, avviare coderdojo",Gioiosa Ionica,RC,CAL,MEDIO,7254,,,,,,,,,,,,,,,,,,,,,,,,,,
80038,la connettività non supera i 20 Megabit,si,"no, non hai mai organizzato nulla",non c'è nessun servizio di wi fi pubblico,,oltre 60 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, Piattaforma per consultazioni online",è presente anche durante il weekend,è presente e risponde,esiste una sezione open data ma ristretta solo agli adempimenti di legge sulla trasparenza,non c'è nel mio comune,Non c'è stata nessuna iniziativa,105,0,no,"aumentare la connettività, aumentare il wi fi pubblico, supportare gli amministratori pubblici nella promozione del digitale, aumentare l'alfabetizzazione digitale per categorie a rischio esclusione, aumentare l'alfabetizzazione digitale alle aziende, avviare coderdojo, aumentare formazione di tecnologie open source, aumentare le politiche a supporto delle startup, aumentare diffusione dei fablab e della digitalizzazione della manifattura",Gioia Tauro,RC,CAL,MEDIO,18683,,,,,,,,,,,,,,,,,,,,,,,,,,
80034,La connettività non supera 1 Megabit,si,"no, non hai mai organizzato nulla",non c'è nessun servizio di wi fi pubblico,,fino a 10 indicatori soddisfatti,Piattaforma per consultazioni online,non è presente su facebook,non è presente su  twitter,non esiste una sezione open data,non c'è nel mio comune,Non c'è stata nessuna iniziativa,0,0,no,"aumentare la connettività, aumentare il wi fi pubblico, supportare gli amministratori pubblici nella promozione del digitale, aumentare l'alfabetizzazione digitale per categorie a rischio esclusione",Fiumara,RC,CAL,PICCOLO,1068,,,,,,,,,,,,,,,,,,,,,,,,,,
80028,la connettività non supera i 20 Megabit,si,"no, non hai mai organizzato nulla",tramite mail,senza limite ma solo in alcune zone del paese,oltre 60 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, Servizi informativi meteo e dati ambientali, Servizi informativi traffico e mobilità, Servizi informativi per situazioni di emergenza",non è presente su facebook,non è presente su  twitter,non esiste una sezione open data,non c'è nel mio comune,Non c'è stata nessuna iniziativa,sono assenti,sono assenti,no,"aumentare la connettività, aumentare il wi fi pubblico, supportare gli amministratori pubblici nella promozione del digitale, aumentare l'alfabetizzazione digitale per categorie a rischio esclusione, aumentare l'alfabetizzazione digitale alle aziende, aumentare le politiche a supporto delle startup",Cittanova,RC,CAL,MEDIO,10512,,,,,,,,,,,,,,,,,,,,,,,,,,
80027,la connettività non supera i 100 Megabit,no,"no, non hai mai organizzato nulla",non c'è nessun servizio di wi fi pubblico,,fino a 30 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, Piattaforma per consultazioni online, Servizi informativi meteo e dati ambientali, Servizi informativi per situazioni di emergenza",è presente ma non risponde a commenti e domande,non è presente su  twitter,non esiste una sezione open data,non c'è nel mio comune,Non c'è stata nessuna iniziativa,5,0,no,"aumentare la connettività, aumentare il wi fi pubblico, supportare gli amministratori pubblici nella promozione del digitale, fare formazione sul crowdfunding, aumentare le politiche a supporto delle startup",Cinquefrondi,RC,CAL,MEDIO,6643,,,,,,,,,,,,,,,,,,,,,,,,,,
80014,la connettività non supera i 20 Megabit,no,"no, non hai mai organizzato nulla",non c'è nessun servizio di wi fi pubblico,,fino a 60 indicatori soddisfatti,Non c'è niente di tutto questo sul sito,non è presente su facebook,non è presente su  twitter,non esiste una sezione open data,non c'è nel mio comune,Non c'è stata nessuna iniziativa,3,0,no,"aumentare la connettività, aumentare il wi fi pubblico, supportare gli amministratori pubblici nella promozione del digitale, fare formazione sul crowdfunding, aumentare l'alfabetizzazione digitale per categorie a rischio esclusione, aumentare l'alfabetizzazione digitale alle aziende, avviare coderdojo, aumentare formazione di tecnologie open source, aumentare le politiche a supporto delle startup, aumentare diffusione dei fablab e della digitalizzazione della manifattura",Brancaleone,RC,CAL,PICCOLO,3769,,,,,,,,,,,,,,,,,,,,,,,,,,
80012,la connettività non supera i 20 Megabit,Comune Commissariato,"no, non hai mai organizzato nulla",non c'è nessun servizio di wi fi pubblico,nessun accesso,fino a 40 indicatori soddisfatti,"Autocertificazione, Calcolo ICI, Calcolo IMU, Sportello SUAP, Visure Camerali, Visure Catastali, WebGis",non è presente su facebook,non è presente su  twitter,non esiste una sezione open data,non c'è nel mio comune,Non c'è stata nessuna iniziativa,no,no,no,"aumentare la connettività, aumentare il wi fi pubblico, supportare gli amministratori pubblici nella promozione del digitale, aumentare l'alfabetizzazione digitale per categorie a rischio esclusione, aumentare l'alfabetizzazione digitale alle aziende",Bovalino,RC,CAL,MEDIO,9021,,,,,,,,,,,,,,,,,,,,,,,,,,
79160,la connettività non supera i 20 Megabit,"non ancora, il sindaco è stato appena eletto","no, non hai mai organizzato nulla",tramite servizi collegati al telefono mobile (es. sms o telefonata),"non so, non riesco a trovare questa informazione",oltre 60 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, Servizi informativi meteo e dati ambientali, Servizi informativi per situazioni di emergenza",è presente ma non risponde a commenti e domande,"non è presente su  twitter, è presente ma non risponde ai commenti",non esiste una sezione open data,non c'è nel mio comune,Non c'è stata nessuna iniziativa,11,0,no,"aumentare il wi fi pubblico, supportare gli amministratori pubblici nella promozione del digitale, aumentare l'alfabetizzazione digitale per categorie a rischio esclusione, aumentare le politiche a supporto delle startup",Lamezia Terme,CZ,CAL,GRANDE,71286,,,,,,,,,,,,,,,,,,,,,,,,,,
79142,la connettività non supera i 10 Megabit,no,"no, non hai mai organizzato nulla",non c'è nessun servizio di wi fi pubblico,,oltre 60 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, Piattaforma per consultazioni online",non è presente su facebook,non è presente su  twitter,non esiste una sezione open data,non c'è nel mio comune,Non c'è stata nessuna iniziativa,0,0,no,"aumentare la connettività, supportare gli amministratori pubblici nella promozione del digitale, aumentare l'alfabetizzazione digitale per categorie a rischio esclusione, aumentare l'alfabetizzazione digitale alle aziende",Squillace,CZ,CAL,PICCOLO,3450,,,,,,,,,,,,,,,,,,,,,,,,,,
79059,la connettività non supera i 20 Megabit,si,"no, non hai mai organizzato nulla",non c'è nessun servizio di wi fi pubblico,,oltre 60 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, Servizi informativi meteo e dati ambientali, Servizi informativi per situazioni di emergenza, Calcolo IUC - albo pretorio",non è presente su facebook,non è presente su  twitter,non esiste una sezione open data,non c'è nel mio comune,Non c'è stata nessuna iniziativa,17,0,no,"aumentare la connettività, aumentare il wi fi pubblico, supportare gli amministratori pubblici nella promozione del digitale, aumentare l'alfabetizzazione digitale per categorie a rischio esclusione, aumentare le politiche a supporto delle startup",Girifalco,CZ,CAL,MEDIO,6164,,,,,,,,,,,,,,,,,,,,,,,,,,
79024,"Telecom a 0,5mbs  Wadsl fino a 4mbs",no,"no, non hai mai organizzato nulla",il wi fi pubblico c'è e non è necessaria nessuna iscrizione,non c'è nessun limite,oltre 60 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, Piattaforma per consultazioni online, Servizi informativi meteo e dati ambientali, Servizi informativi traffico e mobilità",non è presente su facebook,non è presente su  twitter,non esiste una sezione open data,non c'è nel mio comune,Non c'è stata nessuna iniziativa,0,0,si,"aumentare la connettività, supportare gli amministratori pubblici nella promozione del digitale, avviare coderdojo, aumentare formazione di tecnologie open source, aumentare diffusione dei fablab e della digitalizzazione della manifattura",Cenadi,CZ,CAL,PICCOLO,593,,,,,,,,,,,,,,,,,,,,,,,,,,
79023,la connettività non supera i 100 Megabit,no,"no, non hai mai organizzato nulla",Esiste in diverse zone della città ma molte volte non funziona e la registrazione avviene tramite email,Quando funziona non c'è limite,oltre 60 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, Servizi informativi per situazioni di emergenza, URP online",è presente ma non risponde a commenti e domande,è presente ma non risponde ai commenti,non esiste una sezione open data,c'è stata una iniziativa,Saltuariamente vengono organizzati incontri ma nulla di continuativo,25,0,no,"supportare gli amministratori pubblici nella promozione del digitale, fare formazione sul crowdfunding, aumentare l'alfabetizzazione digitale per categorie a rischio esclusione, aumentare l'alfabetizzazione digitale alle aziende, avviare coderdojo, aumentare formazione di tecnologie open source, aumentare le politiche a supporto delle startup, aumentare diffusione dei fablab e della digitalizzazione della manifattura",Catanzaro,CZ,CAL,GRANDE,93124,,,,,,,,,,,,,,,,,,,,,,,,,,
78151,la connettività non supera i 20 Megabit,no,"no, non hai mai organizzato nulla",non c'è nessun servizio di wi fi pubblico,,oltre 60 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, Piattaforma per consultazioni online, sono presenti numerosi servizi in lista ma le pagine relative sono bianche","è presente e risponde a commenti e domande, risponde saltuariamente",non è presente su  twitter,esiste una sezione open data ma ristretta solo agli adempimenti di legge sulla trasparenza,non c'è nel mio comune,Non c'è stata nessuna iniziativa,105,0,no,"aumentare la connettività, supportare gli amministratori pubblici nella promozione del digitale, aumentare l'alfabetizzazione digitale per categorie a rischio esclusione, aumentare l'alfabetizzazione digitale alle aziende",Trenta,CS,CAL,PICCOLO,2764,,,,,,,,,,,,,,,,,,,,,,,,,,
78146,la connettività non supera i 10 Megabit,no,"no, non hai mai organizzato nulla",è di un privato ma si accede tramite servizi collegati al telefono mobile (es. sms o telefonata),non c'è nessun limite,oltre 60 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, Piattaforma per consultazioni online",è presente con account personali,non è presente su  twitter,"non esiste una sezione open data, esiste una sezione o portale open data con dataset di vari uffici aggiornati e con infografiche di supporto. Il comune si attiva anche nell'incentivarne il riuso",non c'è nel mio comune,Non c'è stata nessuna iniziativa,0,0,no,"aumentare la connettività, aumentare il wi fi pubblico, supportare gli amministratori pubblici nella promozione del digitale, aumentare l'alfabetizzazione digitale per categorie a rischio esclusione, aumentare l'alfabetizzazione digitale alle aziende, aumentare formazione di tecnologie open source",Terranova da Sibari,CS,CAL,MEDIO,5261,,,,,,,,,,,,,,,,,,,,,,,,,,
78132,la connettività non supera i 10 Megabit,no,"no, non hai mai organizzato nulla",non c'è nessun servizio di wi fi pubblico,,fino a 10 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, Servizi informativi meteo e dati ambientali","Si è presente, ma la pagina viene utilizzata esclusivamente come ""album fotografico""",non è presente su  twitter,non esiste una sezione open data,non c'è nel mio comune,Non c'è stata nessuna iniziativa,"Talent Garden Cosenza, Viaggiart, Startup Calabria",0,no,"aumentare la connettività, supportare gli amministratori pubblici nella promozione del digitale, fare formazione sul crowdfunding, aumentare l'alfabetizzazione digitale per categorie a rischio esclusione, aumentare l'alfabetizzazione digitale alle aziende, avviare coderdojo, aumentare formazione di tecnologie open source, aumentare le politiche a supporto delle startup, aumentare diffusione dei fablab e della digitalizzazione della manifattura",Santa Maria del Cedro,CS,CAL,PICCOLO,4957,,,,,,,,,,,,,,,,,,,,,,,,,,
78127,la connettività non supera i 20 Megabit,no,"no, non hai mai organizzato nulla",non c'è più il servizio,non c'è iù il servizio,oltre 60 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, Piattaforma per consultazioni online, Servizi informativi meteo e dati ambientali, Servizi informativi per situazioni di emergenza",non è presente su facebook,non è presente su  twitter,esiste una sezione open data ma ristretta solo agli adempimenti di legge sulla trasparenza,non c'è nel mio comune,Non c'è stata nessuna iniziativa,nessuno,nessuno,no,"aumentare la connettività, aumentare il wi fi pubblico, supportare gli amministratori pubblici nella promozione del digitale, fare formazione sul crowdfunding, aumentare l'alfabetizzazione digitale per categorie a rischio esclusione, aumentare l'alfabetizzazione digitale alle aziende, aumentare formazione di tecnologie open source, aumentare le politiche a supporto delle startup, aumentare diffusione dei fablab e della digitalizzazione della manifattura",San Pietro in Guarano,CS,CAL,PICCOLO,3684,,,,,,,,,,,,,,,,,,,,,,,,,,
78119,la connettività non supera i 20 Megabit,no,"no, non hai mai organizzato nulla",non c'è nessun servizio di wi fi pubblico,,oltre 60 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, Servizi informativi meteo e dati ambientali, Sportello Unico online",è presente ma non risponde a commenti e domande,non è presente su  twitter,non esiste una sezione open data,non c'è nel mio comune,Non c'è stata nessuna iniziativa,0,0,no,"aumentare la connettività, aumentare il wi fi pubblico, supportare gli amministratori pubblici nella promozione del digitale, aumentare l'alfabetizzazione digitale per categorie a rischio esclusione, aumentare formazione di tecnologie open source",San Giovanni in Fiore,CS,CAL,MEDIO,18049,,,,,,,,,,,,,,,,,,,,,,,,,,
78115,area bianca,ho portato io a conoscenza l'amministrazione della nomina a digital champion e da allora abbiamo contatti diretti e continui.,"si, ha organizzato più eventi",il wi fi pubblico c'è e non è necessaria nessuna iscrizione,non c'è nessun limite,oltre 60 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, Piattaforma per consultazioni online",è presente ma risponte solo alle domande non ai commenti...,non è presente su  twitter,non esiste una sezione open data,non c'è nel mio comune,Saltuariamente vengono organizzati incontri ma nulla di continuativo,105,0,no,"aumentare la connettività, supportare gli amministratori pubblici nella promozione del digitale, fare formazione sul crowdfunding, aumentare l'alfabetizzazione digitale per categorie a rischio esclusione",San Donato di Ninea,CS,CAL,PICCOLO,1514,,,,,,,,,,,,,,,,,,,,,,,,,,
78107,la connettività non supera i 10 Megabit,Incontrerò il sindaco nelle prossime settimane.,"no, non hai mai organizzato nulla",tramite servizi collegati al telefono mobile (es. sms o telefonata),"Qualche mese fa il tempo massimo (gratis) era di massimo 1h se non erro; ora la pagina di benvenuto mostra stranamente un banner per l'acquisto della ricarica per navigare con la seguente tariffazione; 2€ per 500mb,; 5€ per 2gb e 10€ per 10GB",oltre 60 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, Piattaforma per consultazioni online",non è presente su facebook,non è presente su  twitter,non esiste una sezione open data,non c'è nel mio comune,Non c'è stata nessuna iniziativa,49,0,no,"aumentare la connettività, aumentare il wi fi pubblico, supportare gli amministratori pubblici nella promozione del digitale, fare formazione sul crowdfunding, aumentare l'alfabetizzazione digitale per categorie a rischio esclusione, aumentare l'alfabetizzazione digitale alle aziende, avviare coderdojo, aumentare formazione di tecnologie open source, aumentare le politiche a supporto delle startup, aumentare diffusione dei fablab e della digitalizzazione della manifattura",Roseto Capo Spulico,CS,CAL,PICCOLO,1910,,,,,,,,,,,,,,,,,,,,,,,,,,
78103,la connettività non supera i 10 Megabit,Ancora no,"no, non hai mai organizzato nulla",tramite servizi collegati al telefono mobile (es. sms o telefonata),massimo 1h,oltre 60 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, Piattaforma per consultazioni online",non è presente su facebook,non è presente su  twitter,non esiste una sezione open data,non c'è nel mio comune,Non c'è stata nessuna iniziativa,0,0,no,"aumentare la connettività, supportare gli amministratori pubblici nella promozione del digitale, aumentare l'alfabetizzazione digitale per categorie a rischio esclusione, aumentare l'alfabetizzazione digitale alle aziende, avviare coderdojo, aumentare formazione di tecnologie open source, aumentare diffusione dei fablab e della digitalizzazione della manifattura",Rocca Imperiale,CS,CAL,PICCOLO,3361,,,,,,,,,,,,,,,,,,,,,,,,,,
78077,la connettività non supera i 20 Megabit,si,"no, non hai mai organizzato nulla",non c'è nessun servizio di wi fi pubblico,,oltre 60 indicatori soddisfatti,Servizi informativi per bandi e concorsi pubblici,non è presente su facebook,non è presente su  twitter,non esiste una sezione open data,non c'è nel mio comune,Non c'è stata nessuna iniziativa,49,0,si,"aumentare la connettività, supportare gli amministratori pubblici nella promozione del digitale, aumentare l'alfabetizzazione digitale per categorie a rischio esclusione, aumentare l'alfabetizzazione digitale alle aziende, avviare coderdojo",Marano Principato,CS,CAL,PICCOLO,3120,,,,,,,,,,,,,,,,,,,,,,,,,,
78076,la connettività non supera i 20 Megabit,no,"no, non hai mai organizzato nulla",non c'è nessun servizio di wi fi pubblico,,oltre 60 indicatori soddisfatti,Servizi informativi per bandi e concorsi pubblici,non è presente su facebook,non è presente su  twitter,non esiste una sezione open data,non c'è nel mio comune,Non c'è stata nessuna iniziativa,0,0,no,"aumentare la connettività, aumentare il wi fi pubblico, supportare gli amministratori pubblici nella promozione del digitale, aumentare l'alfabetizzazione digitale per categorie a rischio esclusione",Marano Marchesato,CS,CAL,PICCOLO,3540,,,,,,,,,,,,,,,,,,,,,,,,,,
